URL,Size,OutLinks,ContentType
http://www.bostonglobe.com/sports/schools/rankings/softball,43423,87,text/html
http://www.bostonglobe.com/sports/high-schools/201516/scoreboard/20151126.html,175277,453,text/html
https://www.bostonglobe.com/sports/high-schools/2016/12/03/hanover-grounds-grafton-for-division-crown/jxJUb7IEYvZTp4YelNYUjP/story.html,51952,89,text/html
http://www.bostonglobe.com/sports/schools/rankings/boys-volleyball,43669,87,text/html
https://www.bostonglobe.com/sports/high-schools/2017/09/07/division-high-school-football-previews/SeQY8jVz4FQlFKrwBXJ8VM/story.html,72637,86,text/html
https://www.bostonglobe.com/sports/high-schools/2016/11/19/gsocc/R5P8zvMWdyk6R4VM30SSqI/story.html,46267,87,text/html
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-72x72.png,1335,0,image/png
http://www.bostonglobe.com/img/masthead/lockup.png,70385,0,image/png
http://www.bostonglobe.com/news/politics?p1=BGMenu,62886,143,text/html
http://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2017/09/27/BostonGlobe.com/ReceivedContent/Images/kreiter_COP_halfbrothers1-sptlt.jpg,34348,0,image/jpeg
http://www.bostonglobe.com/opinion?p1=BGMenu,68631,149,text/html
http://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2017/10/01/BostonGlobe.com/ReceivedContent/Images/Davis15-002.jpg,47489,0,image/jpeg
http://www.bostonglobe.com/lifestyle?p1=BGMenu,96264,204,text/html
http://www.bostonglobe.com/tools/help/stafflist?p1=BGFooter,76818,537,text/html
http://www.bostonglobe.com/metro/2017/10/01/giant-pumpkin-traverses-boston-harbor-carrying-revere-resident/t7kgUevrwEJiWJQPfQB6hI/story.html?p1=BGMenu_Article,53154,94,text/html
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/favicon-96x96.png,2610,0,image/png
http://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2017/10/01/BostonGlobe.com/Metro/Images/greenhouse_02pumpkinboat-1_metro.jpg,43017,0,image/jpeg
http://www.bostonglobe.com/sports/patriots/2017/10/01/let-face-patriots-are-fortunate/rCSbFrh9o1DWuneOOsWYAK/story.html?p1=BGMenu_Article,7518,19,text/html
http://www.bostonglobe.com/termsofpurchase?p1=BGFooter,41630,79,text/html
http://www.bostonglobe.com/business?p1=BGMenu,99811,194,text/html
http://www.bostonglobe.com/tools/help/terms-service?p1=BGFooter,50646,83,text/html
http://www.bostonglobe.com/news/bigpicture?p1=BGMenu_Subnav,338835,534,text/html
http://www.bostonglobe.com/metro/obituaries?p1=BGMenu_Subnav,84699,173,text/html
http://www.bostonglobe.com/?p1=BGHeader_Logo,115135,321,text/html
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-114x114.png,1999,0,image/png
