URL,Status
https://www.bostonglobe.com/sports/high-schools/2016/11/19/gsocc/R5P8zvMWdyk6R4VM30SSqI/story.html,200
http://www.bostonglobe.com/css/html5reset.css,globe-globals.css,globe-masthead.css,globe-nav.css,globe-nav-menus.css,globe-main.css,globe-footer.css,globe-polldaddy.css,article.css,gallery.css,globe-topic-nav.css,globe-profile-page.css,globe-bgbrandlab-belt.css?v=18242I1724,200
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-72x72.png,200
http://www.bostonglobe.com/img/masthead/lockup.png,200
http://www.bostonglobe.com/news/politics?p1=BGMenu,200
http://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2017/09/27/BostonGlobe.com/ReceivedContent/Images/kreiter_COP_halfbrothers1-sptlt.jpg,200
http://www.bostonglobe.com/opinion?p1=BGMenu,200
http://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2017/10/01/BostonGlobe.com/ReceivedContent/Images/Davis15-002.jpg,200
http://www.bostonglobe.com/lifestyle?p1=BGMenu,200
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/favicon.ico,404
http://www.bostonglobe.com/tools/help/stafflist?p1=BGFooter,200
http://www.bostonglobe.com/metro/2017/10/01/giant-pumpkin-traverses-boston-harbor-carrying-revere-resident/t7kgUevrwEJiWJQPfQB6hI/story.html?p1=BGMenu_Article,200
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/favicon-96x96.png,200
http://www.bostonglobe.com/rf/image_585w/Boston/2011-2020/2017/10/01/BostonGlobe.com/Metro/Images/greenhouse_02pumpkinboat-1_metro.jpg,200
http://www.bostonglobe.com/sports/patriots/2017/10/01/let-face-patriots-are-fortunate/rCSbFrh9o1DWuneOOsWYAK/story.html?p1=BGMenu_Article,200
http://www.bostonglobe.com/termsofpurchase?p1=BGFooter,200
http://www.bostonglobe.com/business?p1=BGMenu,200
http://www.bostonglobe.com/tools/help/terms-service?p1=BGFooter,200
http://www.bostonglobe.com/news/bigpicture?p1=BGMenu_Subnav,200
http://www.bostonglobe.com/metro/obituaries?p1=BGMenu_Subnav,200
http://www.bostonglobe.com/?p1=BGHeader_Logo,200
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-114x114.png,200
http://www.bostonglobe.com/rw/SysConfig/WebPortal/BostonGlobe/Framework/bg-images/png/favicon/apple-touch-icon-180x180.png,200
http://www.bostonglobe.com/lifestyle/crossword?p1=BGMenu_Subnav,200
